# Down sampled to 1000 coordinates
X,Y,Z
-9488.16670275669,5239.6528570690525,667.2980089541027
22857.089527112425,6397.221165257948,-5629.492802826325
-997.2728573620675,-5005.227361106247,-970.830917147492
18619.84138527008,-4231.288072019845,-5016.494803613353
9543.844043015446,6767.56187253182,-2814.349804797389
-4087.5537910218763,60.567203407107186,-8506.33127389693
44226.251461783584,6072.178419694926,-13177.073218127289
2526.6647489548577,-11937.691545575944,7795.4673776132595
-2943.7060550859233,1788.135074745385,6775.825918575065
11949.372496336062,-49.10701773933681,-820.386661368304
-6079.308393891592,-2134.7762326780926,-1837.9101627550187
37798.30102048889,-10947.057988946868,-700.7547153724165
-8.267725975739298,10560.649868181186,3010.4172029843103
-10896.752595063223,-287.672406696914,-2851.463167484579
-2127.1146493883525,-10081.275944513176,-9406.824342562051
11228.894700982803,-1533.9007741420353,14608.706001941651
-4820.499751242832,7369.253849858545,-6715.015025072586
-9083.443809156763,-2855.0143825112364,4584.406656759238
3978.1188904935907,-14642.865638681254,-2671.6926117689954
9002.017179548093,17164.3064752166,1218.27206890481
11042.715764837985,7708.576381967945,9016.952429006664
61770.37725530018,-11219.081187024616,-5605.830172079705
4775.499267507472,-1946.6585193211451,-28.456902730939127
23914.254613507426,-22534.528687162954,5770.377050006694
-568.4084108548398,1084.365859628817,1255.8223825584216
35231.389312721425,3456.8849594268563,6956.213634929973
3953.4889700213594,-2887.5369933260713,8669.644076338785
18024.464342961463,1253.8202731152544,2958.5048939549497
14066.079626558547,-11521.369667651323,741.8378891894431
-5195.817033523483,3662.102162774694,1478.8503417296831
-9147.928431094833,-4815.874693568151,-7994.525486474542
35829.31404305977,15657.28080607859,-4185.431775141655
29041.14317795255,13782.669398600201,7176.6770734941865
-1616.7933242650586,11105.851280303512,-5639.988433088946
64677.27752813629,4605.029385669244,-4353.932284547359
-4496.955326773595,-4856.086436061949,4007.752740422144
-10507.27883072176,-2489.003013182091,-197.88106058395766
-9863.105289704785,1146.3827801843786,1213.7530289842896
3148.6193545923707,6547.942991165914,3947.326713777584
-9956.653031407204,4647.127795346379,-4307.036217162356
29440.095147949316,682.4130045357789,-4049.5282013279607
11556.765816580766,-25128.946180988816,-1799.1073894223791
50109.31978797823,12688.58459209291,1252.2971926598761
-7300.25037507885,-380.03564566724475,7555.398038413563
-916.7449061523674,-10174.970321218098,-2529.8966935346784
-8101.919808317359,-3976.1800012458775,1165.5710413433183
-7485.0162759113655,2095.8967011779264,-14044.24250216365
11036.720530176417,8659.2380097369,1823.953500861644
-4359.31773754928,6476.807922226913,2549.3842270435443
3864.3226096846574,18168.698146708975,-2066.873894339637
-418.2807885996345,5398.211515615433,9724.61923394126
9186.307352029538,-7024.833765984356,2034.8357028480254
-3862.9423614884026,-7029.926432157388,-733.08214155042
11934.019683337114,-4808.1033094838185,5788.05611663754
-7854.722519696879,583.8066373615981,-1318.3598676629035
8526.896240399396,-467.04213776776896,-834.0315316643788
39989.9775004188,-1931.5897956027359,-12101.169743642124
-8452.093407063903,-550.3810924102796,-6061.412052706932
-7828.347680490951,595.1481642309247,5934.4687244086745
13644.909978866783,7204.762408994766,-1709.685914670983
2533.559274778779,10037.794426521774,-2327.720716120782
3288.845265533606,3684.015391391367,1280.03096759918
26916.995140059207,-13332.42485830123,-1990.9505521982826
50140.63680842062,-17850.11130479148,1266.9444261897631
6489.205389693808,-8225.956288327363,-3932.187216730859
-5777.848801030627,-10094.287782585616,-6033.658670381367
3.934144799648336,-18434.878043056055,-8356.148033625068
17755.281834982445,16637.07772299868,2188.4730276825953
16804.040314036985,-1558.6589909384832,8210.00096123919
31552.907862038413,-20537.159362799288,-1558.5732257001785
4325.343601741552,3367.9735962688064,-3848.549577589752
-2712.0861027434107,11212.493033277997,-8479.296396679994
5816.390466836567,11607.491879595962,5181.615077435874
-4281.122524227576,3149.0762955819127,-3641.8111237420017
-555.3745121114251,-6216.695155593449,7182.545862530273
-4523.470891932568,-72.86037555019946,3606.9880607663545
49855.1268835182,3556.099125497089,-1797.963021341239
6535.662081764839,2214.0581396343264,9637.727668917103
16093.910162040545,-5483.916796284032,698.413172249654
37148.59275036727,-2219.2557645640973,1972.7997507155371
158.33827427286002,604.8884168121879,3934.0302440758564
8679.449821474396,-6316.974395349103,10176.226353644344
-5611.397537280297,5894.711285389215,520.1894717853393
-8380.009330224864,2762.282531702644,4356.091024209044
-8998.876871223112,-5826.631549090174,-5075.007498585532
4777.866187319792,-13369.407884887463,1718.3406161007897
-7205.378940801174,7686.701712107183,-9385.860560275754
77.35692739383776,-138.512229273979,11452.613107837395
-2541.128543302827,-1551.739999120218,-1831.6236938453985
-10739.980281991306,-505.0482285317564,1717.0984982746247
-10825.24997040663,3009.3198676150246,-1636.2926904986355
-4730.2656880842715,-6781.5606277604975,3105.618535459661
-6727.762073147498,-5734.760520667067,-14888.278351927718
3395.7609382374376,-3273.9122836634847,1765.328950901889
37195.919434196345,-10737.423702767206,-10763.648922768514
14039.067810591167,3961.893468146971,3504.5358996102427
3287.1705740503858,20571.98037084487,-7084.4352838390905
-4397.12036595001,3842.6738121415565,-9870.662682920749
7114.687967797485,2685.5747389036405,1244.7571219697802
36041.98677412279,-14172.86092964687,8889.24180048703
4636.954215452317,-66.38932792749267,-2821.5451425167316
13365.817446423982,-3605.942753881188,-4598.986958345129
-6921.6551703684045,-4445.2114790337,-5269.110408133234
-565.1244586249535,-12762.168836702953,-6404.759715210476
-129.79735348935915,-8926.629827732399,3274.2001597017065
16197.101810798971,3233.7498410314624,-3241.0232987621935
26144.490755274048,-3882.3447783155957,-4488.809577794022
17957.873171160987,-8454.319361548933,13019.554379230516
33851.74851785141,12703.081426065317,-8887.937092596867
2513.538599548148,15255.205826964484,-5003.34530701575
-8545.48824819242,1978.8377024996084,-4567.219974219133
-7558.5559137122555,5876.458482522711,4832.318651007691
28290.70795022948,-4550.059986011,3333.220820330989
-5149.466576315441,8585.44430298208,-2726.858586029801
-9454.784875902711,-1898.8194960095525,-3107.6814883635016
-866.6445642029236,1010.2570060779419,-3049.1162445081745
21306.268899374663,9445.740348646985,4257.523234596058
48256.88414517494,6059.706442310763,-3019.775935325104
12000.015188204046,-19075.499253885988,6713.202654460413
17227.491773918515,-7210.05383941222,2751.1124441853594
37646.683052981425,-3373.800855045764,-16772.674511807934
-12216.825978065037,1124.699255762572,3954.370161168971
-3392.6802798626964,-14121.718957064331,-9015.832636815792
4924.748750030991,7019.052591676468,7547.221707640615
-400.40082676330564,17581.349148797075,-9344.316259017844
5393.226674693618,-17652.806090143626,-5642.318151620703
3553.7924406928237,10862.057006476305,-190.37079550411238
-2281.7241671870693,5251.363039072071,773.1331483070294
-7189.606427042067,-2674.927959650526,4788.841962287505
-2981.0100205606454,-239.08372412045784,7045.721041604248
-4264.272995345861,6374.615659742316,8588.662108887345
14476.738050345866,23751.40642494247,-1078.6241169377572
17242.073949078753,5992.038480554565,302.7304753159645
17515.22158264,-19159.1274887451,-10354.748951092184
43346.96587796451,14871.860226365408,-5395.219349714499
