# Down sampled to 2000 coordinates
X,Y,Z
6457.192241570685,1770.1152997564386,-5265.974787238711
23844.7646210196,4344.829267588159,-8738.201261991637
10956.478851258093,3201.403680241603,2442.8044635515444
10799.35991236426,3219.1378949774253,-3540.668461558895
11367.037436883324,-3751.186278672079,-354.0646446203563
20289.490374802583,6195.611547489398,-959.5509277926302
8158.439575607706,-536.1728118249246,-12414.465853208174
59019.59164214688,-8651.644395418747,-8648.448769495228
14829.173540682435,5776.277815953101,-6140.657727756855
34020.802962241694,521.4736034614147,-4870.438485312263
21527.34190459708,-1213.7279437824673,-6645.973887524206
6388.13187254503,-1599.6396992767109,-4436.415433739995
37018.87703224548,-7310.129475660122,-4478.999736447038
13572.996698753415,-2813.631561981972,2647.9490192462627
35535.81404389869,-7612.261195120879,-4739.1325452880665
16320.5268285557,-6391.961265246295,-4563.504443074286
13499.49261596573,-284.27921024316043,-7466.315368123133
12787.644218999289,7914.145552180237,-1527.0357716866613
13868.769194644035,6425.220487511453,-2002.3958378377056
15402.32510059427,-11940.292463108492,-9977.832030594818
25277.237924286448,1091.3107559349378,-510.8045286158837
8402.40764700626,2950.0872717142925,-5909.699801417118
32514.312205619924,586.8886955350273,-4614.992548919779
8973.638982778843,-2448.641468702222,-5342.350767913045
14326.773713167611,-299.9035581481102,-1102.8922241384892
23564.050926325468,3970.995682170757,-1774.2954693741874
5896.106954629409,1398.6837614158303,-5533.594585975488
7003.2800490563295,-874.178394980193,-5163.091840360006
10816.82746398036,-5464.501811202923,-1654.7617503703066
12069.694757947658,6799.158712320185,-12237.969840206157
6608.597034030431,3248.241754711609,-5335.920512755524
24344.52975806684,-1777.7360355616163,-3749.0486940870014
12763.767894618291,-4134.605269649597,-4454.581016483566
8361.177537352583,-647.4269611001124,-6695.780540828897
12039.284399146463,5407.854342067066,-5227.368271163323
52960.05658856383,-11179.388736317736,-15385.311103921931
13501.20376787302,-842.6149224818499,-9709.464419539663
7876.166534164474,-1514.6889543091818,-5172.819546804198
17787.76469547764,83.45502815128438,215.93985795038748
11100.013281891155,3482.226714198221,-2199.917508568028
12880.649861823726,63.551174282358026,-10729.129313708025
36942.12153056528,15217.035989034825,-10481.7443767974
12450.641538554772,2649.983548345533,-4654.260566966563
7615.955397263255,-466.9897715186235,-5262.060124926921
14355.001302688122,11168.424695952956,-17156.361798219732
14224.07653606576,-6824.816621010363,-319.59012453500605
18021.1990712239,8276.333994158087,-1334.4182872071292
8693.609610130054,5749.520656006085,-4220.192885302299
22542.908608160564,-11450.222092474853,-2099.664453279716
8128.111910600944,-1832.502759051293,-9890.328372078848
13247.922023116766,3589.6579836579585,-3913.0701918846303
46955.13333905862,17903.503385199027,13120.5004685215
17871.37584527969,407.3181377881234,-1739.6049878969473
9155.02198088477,-6390.447044478653,-5901.6433146378
7356.279111531061,954.4731168451248,-6473.444453960571
14105.06980522179,5159.651714201334,3976.890637000408
8299.690865481216,1419.5624468799322,1320.722619238804
33751.9422911029,473.0071287504217,-4394.304679814833
9770.556935456572,-2520.222220765309,-2575.240915145078
11292.566710078392,877.6660680877669,2559.908433231404
13588.1469765136,-3409.2284656661395,-4431.751516524426
24394.178017768867,11432.757420723385,-11365.554315297995
23300.22736114281,-8082.48464553799,1901.3770608245973
8166.006971972141,-604.6235545009994,-858.015803564045
18436.66498395325,6952.311560929431,2487.887223995257
30211.78898230873,-1371.8719522416982,11760.21223636652
36561.40152640735,-9056.88845721567,-880.0801611616374
25077.84708348432,5284.998964940187,-3379.866752536588
